Category;Sentence
3;Все душой прошу,дай бог мне увидеть его и ударить.Я ебал это животное
3;А это ебанный предательницы, запомните их и если увидеть плюньте им в лицо.Садиться на хуй уеблана не дело, но видимо им хорошо.Чтобы сгорели они, в аду нахуй!
3;уничтожить их всех, более пыточным способом, чтобы они умирали неделю в муках, суки!
3;да уж пиздец, почему Россия не может скинуть на них бомб? зачем отправлять людей на гибель?
3;Вот ебать пидорасы,уничтожать этих любителей овец!!!
1;Какого хачи приехли к нам в Россию и творят беспредел? Кто дал им право убивать животных? Домашних животных кошек и собак! Пусть уёбывают отсюда! Из нашей страны! Это им не баран и не овца! Я понимаю что это россизм но они охуели в край! Если бы над ними так издивались? Им бы это наверное не понравилось...
1;Увидишь хача? Дай по ебалу с верушки!
1;Сука хачи я вас в рот ебал пидорасы безсердечные вот достроите нам олимпиаду в Сочи и пиздуйте к себе
6;продаю травматическое оружие бу отправка почтой лицензия не обезательно
3;Да зачем попа убивать!? взяли бы просто гранат из человек 30 и с крыш покидали бы на них..
1;Ку Клус Клана нету на чурок ебаных, так бы регулярно огребали! те кто не знает что такое Ку Клус Клан (ККК) ищите в гугле, там все написано и даже где то видео есть с картинками)
1;Ахахах чурки совсем ебанулись))) макасинприора ахахах)))
2;Что значит "другую личность", ей нужно было третий пол придумать для оригинальности?
2;Кучка слабых, обиженных мужчинок !!! Которые сквозь агрессию и насилие пытаются повысить свой авторитет , жалкое зрелище !!!
2;Мужчины - глупые , морально слабые , жалкие существа !!!!!
2;сказала жалкая и падшая женщина.
2;скажешь это пожарному, который тебя из огня вынесет, менту, который тебя от износилования спасет, хирургу, который твою жалкую жизнь с того света вернет, солдату, который умрет за то, чтобы такая тупая вонючая пизда как ты, сидела и показывала свой уровень деградации в очередной раз доказывая скудоумие феминизма
2;А может быть проблема в том, что вы не уважаете мужчин, посылаете нас, не занимаетесь с нами сексом, бегаете к богатым папикам? И кстати, любви достойна только мама. А чем вы заслужили такую любовь? Может хотя бы готовить умеете?:) Посмотрим, какие найдутся аргументы, анонимная девица:)
2;Мужики! С Днём защитника отечества! Защитим нашу доминанту! Защитим патриархат!
2;Интересно, а когда она родит мужу ребёнка, кем она будет? Всё той же посудомоечной машиной?
2;Мужики,вы теперь знаете истинную внутреннюю натуру девушки.Постарайтесь ограничить общение с подобными экземплярами до минимума.Всех благ.
